collected.by,site,species,indiv.no,leaf.no,area
PA,mp,riblac,1,4,11.284
PA,mp,riblac,1,5,15.178
PA,mp,riblac,3,1,11
PA,mp,riblac,3,2,12.601
PA,mp,riblac,3,3,14.038
PA,mp,riblac,3,4,11.424
PA,mp,riblac,3,5,7.029
PA,mp,riblac,7,1,5.694
PA,mp,riblac,7,2,10.758
PA,mp,riblac,7,3,16.071
PA,mp,riblac,7,4,10.87
PA,mp,riblac,7,5,6.562
PA,mp,riblac,8,1,14.134
PA,mp,riblac,8,2,14.604
PA,mp,riblac,8,3,11.528
PA,mp,riblac,8,4,10.784
PA,mp,riblac,8,5,11.481
PA,mp,riblac,11,1,32.727
PA,mp,riblac,11,2,31.901
PA,mp,riblac,11,3,20.048
PA,mp,riblac,11,4,15.369
PA,mp,riblac,11,5,21.092
PA,mp,rosaci,2,1,11.779
PA,mp,rosaci,2,2,14.182
PA,mp,rosaci,2,3,32.177
PA,mp,rosaci,2,4,17.446
PA,mp,rosaci,2,5,14.662
PA,mp,rosaci,5,1,36.723
PA,mp,rosaci,5,2,25.013
PA,mp,rosaci,5,3,26.754
PA,mp,rosaci,5,4,30.858
PA,mp,rosaci,5,5,26.4
PA,mp,rosaci,8,1,31.145
PA,mp,rosaci,8,2,23.631
PA,mp,rosaci,8,3,23.989
PA,mp,rosaci,8,4,27.818
PA,mp,rosaci,8,5,25.896
PA,mp,rosgym,6,1,30.943
PA,mp,rosgym,6,2,26.028
PA,mp,rosgym,6,3,18.334
PA,mp,rosgym,6,4,28.724
PA,mp,rosgym,6,5,24.567
PA,mp,rubpar,6,1,69.898
PA,mp,rubpar,6,2,27.288
PA,mp,rubpar,6,3,64.266
PA,mp,rubpar,6,4,66.34
PA,mp,rubpar,6,5,53.881
PA,mp,rubspe,3,1,130.739
PA,mp,rubspe,3,2,56.17
PA,mp,rubspe,3,3,75.548
PA,mp,rubspe,3,4,52.897
PA,mp,rubspe,3,5,95.297
PA,mp,rubspe,4,1,39.387
PA,mp,rubspe,4,2,51.529
PA,mp,rubspe,4,3,68.353
PA,mp,rubspe,4,4,34.052
PA,mp,rubspe,4,5,22.801
PA,mp,rubspe,8,1,31.279
PA,mp,rubspe,8,2,24.848
PA,mp,rubspe,8,3,15.492
PA,mp,rubspe,8,4,29.192
PA,mp,rubspe,8,5,46.222
PA,mp,rubspe,9,1,52.085
PA,mp,rubspe,9,2,117.053
PA,mp,rubspe,9,3,45.2
PA,mp,rubspe,9,4,31.12
PA,mp,rubspe,9,5,40.549
PA,mp,rubspe,12,1,48.902
PA,mp,rubspe,12,2,45.764
PA,mp,rubspe,12,3,50.262
PA,mp,rubspe,12,4,41.834
PA,mp,rubspe,12,5,55.175
PA,mp,shecan,5,1,12.44
PA,mp,shecan,5,2,8.837
PA,mp,shecan,5,3,9.359
PA,mp,shecan,5,4,9.708
PA,mp,shecan,5,5,9.037
PA,mp,shecan,8,1,11.59
PA,mp,shecan,8,2,11.445
PA,mp,shecan,8,3,6.42
PA,mp,shecan,8,4,21.124
PA,mp,shecan,8,5,15.392
PA,mp,spibet,1,1,8.805
PA,mp,spibet,1,2,4.907
PA,mp,spibet,1,3,4.493
PA,mp,spibet,1,4,5.405
PA,mp,spibet,1,5,6.69
PA,mp,spibet,6,1,6.746
PA,mp,spibet,6,2,6.37
PA,mp,spibet,6,3,9.886
PA,mp,spibet,6,4,8.247
PA,mp,spibet,6,5,10.472
PA,mp,spipyr,5,1,3.205
PA,mp,spipyr,5,2,2.87
PA,mp,spipyr,5,3,2.656
PA,mp,spipyr,5,4,2.795
PA,mp,spipyr,5,5,3.741
PA,mp,symalb,1,1,7.302
PA,mp,symalb,1,2,6.907
PA,mp,symalb,1,3,5.205
PA,mp,symalb,1,4,8.079
PA,mp,symalb,1,5,6.15
PA,mp,symalb,4,1,9.332
PA,mp,symalb,4,2,9.984
PA,mp,symalb,4,3,12.813
PA,mp,symalb,4,4,8.477
PA,mp,symalb,4,5,8.84
PA,mp,vacmem,3,1,8.051
PA,mp,vacmem,3,2,11.307
PA,mp,vacmem,3,3,11.991
PA,mp,vacmem,3,4,9.284
PA,mp,vacmem,3,5,8.967
PA,mp,vibedu,5,1,108.389
PA,mp,vibedu,5,2,56.216
PA,mp,vibedu,5,3,55.482
PA,mp,vibedu,5,4,47.336
PA,mp,vibedu,5,5,53.397
PA,mp,vibedu,8,1,102.818
PA,mp,vibedu,8,2,40.759
PA,mp,vibedu,8,3,63.354
PA,mp,vibedu,8,4,75.016
PA,mp,vibedu,8,5,93.265
PA,mp,vibedu,10,1,39.274
PA,mp,vibedu,10,2,40.386
PA,mp,vibedu,10,3,69.787
PA,mp,vibedu,10,4,70.264
PA,mp,vibedu,10,5,48.143
PA,mp,vibedu,14,,
PA,mp,vibedu,14,,
PA,mp,vibedu,14,,
PA,mp,vibedu,14,,
PA,mp,vibedu,14,,
PA,sm,acegla,8,1,23.472
PA,sm,acegla,8,2,28.416
PA,sm,acegla,8,3,24.956
PA,sm,acegla,8,4,24.431
PA,sm,acegla,8,5,29.189
PA,sm,acegla,9,1,44.888
PA,sm,acegla,9,2,40.501
PA,sm,acegla,9,3,27.784
PA,sm,acegla,9,4,32.205
PA,sm,acegla,9,5,30.424
PA,sm,acegla,10,1,42.842
PA,sm,acegla,10,2,29.071
PA,sm,acegla,10,3,36.075
PA,sm,acegla,10,4,24.237
PA,sm,acegla,10,5,37.278
PA,sm,acegla,13,1,65.951
PA,sm,acegla,13,2,59.629
PA,sm,acegla,13,3,44.971
PA,sm,acegla,13,4,58.44
PA,sm,acegla,13,5,71.511
PA,sm,alninc,2,1,24.075
PA,sm,alninc,2,2,32.4
PA,sm,alninc,2,3,25.09
PA,sm,alninc,2,4,22.82
PA,sm,alninc,2,5,19.379
PA,sm,alninc,2,1,36.201
PA,sm,alninc,2,2,38.177
PA,sm,alninc,2,3,26.19
PA,sm,alninc,2,4,34.144
PA,sm,alninc,2,5,40.095
PA,sm,alnvir,2,1,21.37
PA,sm,alnvir,2,2,37.438
PA,sm,alnvir,2,3,32.865
PA,sm,alnvir,2,4,22.225
PA,sm,alnvir,2,5,23.673
PA,sm,alnvir,2.2,1,32.664
PA,sm,alnvir,2.2,2,25.5
PA,sm,alnvir,2.2,3,21.476
PA,sm,alnvir,2.2,4,22.188
PA,sm,alnvir,2.2,5,37.436
PA,sm,amealn,1,1,28.25
PA,sm,amealn,1,2,9.704
PA,sm,amealn,1,3,10.169
PA,sm,amealn,1,4,15.592
PA,sm,amealn,1,5,24.006
PA,sm,amealn,6,1,14.821
PA,sm,amealn,6,2,14.902
PA,sm,amealn,6,3,11.673
PA,sm,amealn,6,4,5.949
PA,sm,amealn,6,5,10.166
PA,sm,amealn,7,1,28.848
PA,sm,amealn,7,2,10.472
PA,sm,amealn,7,3,7.906
PA,sm,amealn,7,4,13.307
PA,sm,amealn,7,5,8.453
PA,sm,amealn,9,1,12.163
PA,sm,amealn,9,2,16.583
PA,sm,amealn,9,3,12.423
PA,sm,amealn,9,4,13.352
PA,sm,amealn,9,5,12.257
PA,sm,amealn,10,1,7.247
PA,sm,amealn,10,2,6.063
PA,sm,amealn,10,3,13.531
PA,sm,amealn,10,4,8.038
PA,sm,amealn,10,5,7.923
PA,sm,betpap,4,1,49.984
PA,sm,betpap,4,2,18.03
PA,sm,betpap,4,3,51.601
PA,sm,betpap,4,4,44.607
PA,sm,betpap,4,5,42.081
PA,sm,betpap,7_2nd,1,29.442
PA,sm,betpap,7_2nd,2,34.304
PA,sm,betpap,7_2nd,3,28.533
PA,sm,betpap,7_2nd,4,33.895
PA,sm,betpap,7_2nd,5,25.561
PA,sm,betpap,8,1,38.571
PA,sm,betpap,8,2,48.329
PA,sm,betpap,8,3,34.354
PA,sm,betpap,8,4,41.52
PA,sm,betpap,8,5,23.107
PA,sm,corsto,2,1,51.604
PA,sm,corsto,2,2,64.115
PA,sm,corsto,2,3,53.321
PA,sm,corsto,2,4,60.448
PA,sm,corsto,2,5,24.586
PA,sm,corsto,5,1,27.016
PA,sm,corsto,5,2,26.62
PA,sm,corsto,5,3,38.944
PA,sm,corsto,5,4,42.221
PA,sm,corsto,5,5,35.243
PA,sm,corsto,6,1,31.021
PA,sm,corsto,6,2,27.613
PA,sm,corsto,6,3,19.249
PA,sm,corsto,6,4,13.533
PA,sm,corsto,6,5,25.879
PA,sm,corsto,10,1,44.879
PA,sm,corsto,10,2,110.661
PA,sm,corsto,10,3,53.224
PA,sm,corsto,10,4,30.765
PA,sm,corsto,10,5,109.765
PA,sm,corsto,11,1,38.344
PA,sm,corsto,11,2,25.922
PA,sm,corsto,11,3,31.674
PA,sm,corsto,11,4,37.147
PA,sm,corsto,11,5,55.212
PA,sm,corsto,13,1,39.308
PA,sm,corsto,13,2,42.248
PA,sm,corsto,13,3,33.934
PA,sm,corsto,13,4,48.538
PA,sm,corsto,13,5,50.173
PA,sm,corsto,14,1,57.131
PA,sm,corsto,14,2,66.016
PA,sm,corsto,14,3,103.733
PA,sm,corsto,14,4,33.566
PA,sm,corsto,14,5,38.262
PA,sm,loninv,6,1,32.543
PA,sm,loninv,6,2,24.301
PA,sm,loninv,6,3,43.479
PA,sm,loninv,6,4,24.148
PA,sm,loninv,6,5,42.905
PA,sm,loninv,7,1,12.763
PA,sm,loninv,7,2,13.914
PA,sm,loninv,7,3,13.848
PA,sm,loninv,7,4,14.511
PA,sm,loninv,7,5,14.979
PA,sm,loninv,8,1,29.409
PA,sm,loninv,8,2,16.983
PA,sm,loninv,8,3,21.101
PA,sm,loninv,8,4,28.377
PA,sm,loninv,8,5,22.914
PA,sm,loninv,9,1,17.523
PA,sm,loninv,9,2,19.263
PA,sm,loninv,9,3,21.15
PA,sm,loninv,9,4,20.396
PA,sm,loninv,9,5,18.954
PA,sm,memfer,4,1,6.02
PA,sm,memfer,4,2,4.369
PA,sm,memfer,4,3,5.22
PA,sm,memfer,4,4,4.821
PA,sm,memfer,4,5,5.184
PA,sm,memfer,7,1,4.007
PA,sm,memfer,7,2,3.612
PA,sm,memfer,7,3,3.157
PA,sm,memfer,7,4,3.671
PA,sm,memfer,7,5,3.42
PA,sm,memfer,9,1,4.271
PA,sm,memfer,9,2,4.505
PA,sm,memfer,9,3,3.202
PA,sm,memfer,9,4,3.999
PA,sm,memfer,9,5,3.885
PA,sm,popbal,6,1,61.959
PA,sm,popbal,6,2,62.223
PA,sm,popbal,6,3,62.344
PA,sm,popbal,6,4,70.786
PA,sm,popbal,6,5,53.714
PA,sm,popbal,9,1,37.824
PA,sm,popbal,9,2,59.933
PA,sm,popbal,9,3,55.836
PA,sm,popbal,9,4,30.225
PA,sm,popbal,9,5,50.506
PA,sm,popbal,10,1,59.328
PA,sm,popbal,10,2,39.197
PA,sm,popbal,10,3,43.632
PA,sm,popbal,10,4,59.724
PA,sm,popbal,10,5,28.851
PA,sm,popbal,11,1,51.182
PA,sm,popbal,11,2,23.369
PA,sm,popbal,11,3,47.175
PA,sm,popbal,11,4,57.258
PA,sm,popbal,11,5,36.251
PA,sm,popbal,20,1,50.401
PA,sm,popbal,20,2,44.679
PA,sm,popbal,20,3,57
PA,sm,popbal,20,4,50.97
PA,sm,popbal,20,5,56.839
PA,sm,poptre,11,1,9.675
PA,sm,poptre,11,2,8.449
PA,sm,poptre,11,3,7.228
PA,sm,poptre,11,4,8.845
PA,sm,poptre,11,5,7.326
PA,sm,poptre,13,1,10.974
PA,sm,poptre,13,2,15.438
PA,sm,poptre,13,3,15.935
PA,sm,poptre,13,4,10.598
PA,sm,poptre,13,5,17.15
PA,sm,rhoalb,2,1,30.773
PA,sm,rhoalb,2,2,14.067
PA,sm,rhoalb,2,3,20.718
PA,sm,rhoalb,2,4,14.544
PA,sm,rhoalb,2,5,22.086
PA,sm,rhoalb,5,1,25.345
PA,sm,rhoalb,5,2,15.898
PA,sm,rhoalb,5,3,22.953
PA,sm,rhoalb,5,4,20.184
PA,sm,rhoalb,5,5,27.377
PA,sm,rhoalb,7,1,15.353
PA,sm,rhoalb,7,2,13.859
PA,sm,rhoalb,7,3,15.346
PA,sm,rhoalb,7,4,14.163
PA,sm,rhoalb,7,5,12.26
PA,sm,riblac,2,1,17.69
PA,sm,riblac,2,2,16.643
PA,sm,riblac,2,3,19.219
PA,sm,riblac,2,4,20.294
PA,sm,riblac,2,5,15.292
PA,sm,riblac,6,1,8.611
PA,sm,riblac,6,2,11.575
PA,sm,riblac,6,3,12.324
PA,sm,riblac,6,4,9.239
PA,sm,riblac,6,5,16.579
PA,sm,riblac,9,1,28.343
PA,sm,riblac,9,2,18.21
PA,sm,riblac,9,3,19.423
PA,sm,riblac,9,4,22.324
PA,sm,riblac,9,5,12.731
PA,sm,riblac,11,1,17.498
PA,sm,riblac,11,2,24.683
PA,sm,riblac,11,3,18.417
PA,sm,riblac,11,4,18.721
PA,sm,riblac,11,5,22.463
PA,sm,rosaci,6,1,46.135
PA,sm,rosaci,6,2,35.706
PA,sm,rosaci,6,3,38.293
PA,sm,rosaci,6,4,44.13
PA,sm,rosaci,6,5,44.077
PA,sm,shecan ,6,1,6.29
PA,sm,shecan ,6,2,6.735
PA,sm,shecan ,6,3,6.198
PA,sm,shecan ,6,4,4.737
PA,sm,shecan ,6,5,3.626
PA,sm,shecan,7,1,11.398
PA,sm,shecan,7,2,13.673
PA,sm,shecan,7,3,12.458
PA,sm,shecan,7,4,17.806
PA,sm,shecan,7,5,14.717
PA,sm,shecan,7,1,12.619
PA,sm,shecan,7,2,9.453
PA,sm,shecan,7,3,8.529
PA,sm,shecan,7,4,6.033
PA,sm,shecan,7,5,5.497
PA,sm,spibet,1,1,12.506
PA,sm,spibet,1,2,19.789
PA,sm,spibet,1,3,26.916
PA,sm,spibet,1,4,22.315
PA,sm,spibet,1,5,23.566
PA,sm,spibet,2,1,17.029
PA,sm,spibet,2,2,19.425
PA,sm,spibet,2,3,16.216
PA,sm,spibet,2,4,13.122
PA,sm,spibet,2,5,16.5
PA,sm,spibet,3,1,27.49
PA,sm,spibet,3,2,20.161
PA,sm,spibet,3,3,20.091
PA,sm,spibet,3,4,11.224
PA,sm,spibet,3,5,19.546
PA,sm,spibet,4,1,27.648
PA,sm,spibet,4,2,16.383
PA,sm,spibet,4,3,27.43
PA,sm,spibet,4,4,14.418
PA,sm,spibet,4,5,18.616
PA,sm,spibet,5,1,18.273
PA,sm,spibet,5,2,23.986
PA,sm,spibet,5,3,18.728
PA,sm,spibet,5,4,16.11
PA,sm,spibet,5,5,17.79
PA,sm,spibet,6,1,20.506
PA,sm,spibet,6,2,30.694
PA,sm,spibet,6,3,30.14
PA,sm,spibet,6,4,47.244
PA,sm,spibet,6,5,39.694
PA,sm,spibet,7,1,28.435
PA,sm,spibet,7,2,16.527
PA,sm,spibet,7,3,24.622
PA,sm,spibet,7,4,25.336
PA,sm,spibet,7,5,22.049
PA,sm,spibet,8,1,12.706
PA,sm,spibet,8,2,12.598
PA,sm,spibet,8,3,40.463
PA,sm,spibet,8,4,22.707
PA,sm,spibet,8,5,24.433
PA,sm,spidou,1,1,2.598
PA,sm,spidou,1,2,3.384
PA,sm,spidou,1,3,3.793
PA,sm,spidou,1,4,3.73
PA,sm,spidou,1,5,4.491
PA,sm,spidou,4,1,4.496
PA,sm,spidou,4,2,2.689
PA,sm,spidou,4,3,2.916
PA,sm,spidou,4,4,1.946
PA,sm,spidou,4,5,2.47
PA,sm,spidou,5,1,5.451
PA,sm,spidou,5,2,2.956
PA,sm,spidou,5,3,4.083
PA,sm,spidou,5,4,2.895
PA,sm,spidou,5,5,4.415
PA,sm,spidou,6,1,3.915
PA,sm,spidou,6,2,4.311
PA,sm,spidou,6,3,4.254
PA,sm,spidou,6,4,4.71
PA,sm,spidou,6,5,4.078
PA,sm,spidou,10,1,2.85
PA,sm,spidou,10,2,3.113
PA,sm,spidou,10,3,3.579
PA,sm,spidou,10,4,3.184
PA,sm,spidou,10,5,3.298
PA,sm,spipyr,3,1,14.795
PA,sm,spipyr,3,2,20.102
PA,sm,spipyr,3,3,15.822
PA,sm,spipyr,3,4,19.667
PA,sm,spipyr,3,5,15.242
PA,sm,spipyr,7,1,8.465
PA,sm,spipyr,7,2,8.016
PA,sm,spipyr,7,3,12.335
PA,sm,spipyr,7,4,8.615
PA,sm,spipyr,7,5,6.462
PA,sm,symalb,6,1,5.355
PA,sm,symalb,6,2,3.604
PA,sm,symalb,6,3,5.574
PA,sm,symalb,6,4,5.058
PA,sm,symalb,6,5,6.463
PA,sm,symalb,7,1,5.119
PA,sm,symalb,7,2,4.129
PA,sm,symalb,7,3,5.949
PA,sm,symalb,7,4,6.15
PA,sm,symalb,7,5,4.327
PA,sm,symalb,8,1,6.956
PA,sm,symalb,8,2,5.489
PA,sm,symalb,8,3,8.423
PA,sm,symalb,8,4,6.355
PA,sm,symalb,8,5,10.066
PA,sm,symalb,11,1,5.851
PA,sm,symalb,11,2,5.238
PA,sm,symalb,11,3,6.738
PA,sm,symalb,11,4,4.236
PA,sm,symalb,11,5,8.615
PA,sm,symalb,12,1,6.578
PA,sm,symalb,12,2,8.379
PA,sm,symalb,12,3,7.18
PA,sm,symalb,12,4,4.096
PA,sm,symalb,12,5,5.731
PA,sm,vacmem,2,1,9.259
PA,sm,vacmem,2,2,8.076
PA,sm,vacmem,2,3,5.708
PA,sm,vacmem,2,4,6.013
PA,sm,vacmem,2,5,8.12
PA,sm,vacmem,6,1,6.856
PA,sm,vacmem,6,2,8.199
PA,sm,vacmem,6,3,5.622
PA,sm,vacmem,6,4,7.036
PA,sm,vacmem,6,5,7.144
PA,sm,vacmem,7,1,5.492
PA,sm,vacmem,7,2,8.864
PA,sm,vacmem,7,3,15.287
PA,sm,vacmem,7,4,5.439
PA,sm,vacmem,7,5,9.654
PA,sm,vibedu,5,1,17.862
PA,sm,vibedu,5,2,19.94
PA,sm,vibedu,5,3,15.466
PA,sm,vibedu,5,4,17.789
PA,sm,vibedu,5,5,22.407
PA,sm,vibedu,7,1,45.178
PA,sm,vibedu,7,2,39.677
PA,sm,vibedu,7,3,50.14
PA,sm,vibedu,7,4,33.337
PA,sm,vibedu,7,5,53.667
PA,sm,vibedu,8,1,25.764
PA,sm,vibedu,8,2,23.541
PA,sm,vibedu,8,3,27.628
PA,sm,vibedu,8,4,46.475
PA,sm,vibedu,8,5,27.271
PA,sm,vibedu,10,1,43.888
PA,sm,vibedu,10,2,21.585
PA,sm,vibedu,10,3,37.742
PA,sm,vibedu,10,4,55.394
PA,sm,vibedu,10,5,36.974
PA,sm,vibedu,20,1,84.402
PA,sm,vibedu,20,2,70.933
PA,sm,vibedu,20,3,65.932
PA,sm,vibedu,20,4,102.866
PA,sm,vibedu,20,5,73.561
