site,species,indiv.no,leaf.no,collected.by,leaf.area,leaf.mass
kl,riblac,12,1,NA,11.17,23
kl,riblac,12,2,NA,9.785,19.4
kl,riblac,12,3,NA,10.684,22.4
kl,riblac,12,4,NA,13.601,27.6
kl,riblac,12,5,NA,11.884,23.3
kl,riblac,13,1,slh,12.395,33.8
kl,riblac,13,2,slh,13.278,36.7
kl,riblac,13,3,slh,13.878,30.1
kl,riblac,13,4,slh,12.176,30.2
kl,riblac,13,5,slh,10.612,27.7
kl,rosgym,1,4,NA,50.53,159.3
kl,rosgym,1,5,NA,57.843,158.3
kl,rosgym,1,1,slh,48.42,155
kl,rosgym,1,2,slh,62.326,185.2
kl,rosgym,1,3,slh,43.856,106.9
kl,rosgym,2,1,slh,27.296,77.8
kl,rosgym,2,2,slh,33.143,120.3
kl,rosgym,2,3,slh,56.785,244.5
kl,rosgym,2,4,slh,20.349,66.6
kl,rosgym,2,5,slh,29.278,115.1
kl,rosgym,4,1,slh,36.924,126.1
kl,rosgym,4,2,slh,59.807,215.5
kl,rosgym,4,3,slh,27.3,95.6
kl,rosgym,4,4,slh,44.552,164.2
kl,rosgym,4,5,slh,34.549,120.6
kl,rosgym,6,1,my,51.68,164.1
kl,rosgym,6,2,my,61.833,177
kl,rosgym,6,3,my,57.087,180.2
kl,rosgym,6,4,my,38.151,115.1
kl,rosgym,6,5,my,67.643,205.4
kl,rosgym,7,1,my,62.315,218
kl,rosgym,7,2,my,42.103,155.7
kl,rosgym,7,3,my,45.518,169
kl,rosgym,7,4,my,98.437,380.1
kl,rosgym,7,5,my,60.699,285.1
kl,rosgym,8,5,NA,50.787,259
kl,rosgym,8,1,slh,50.564,227.4
kl,rosgym,8,1,slh,50.638,227.4
kl,rosgym,8,2,slh,33.916,148.3
kl,rosgym,8,3,slh,53.813,322.1
kl,rosgym,8,4,slh,39.293,178
kl,rosgym,9,1,slh,41.16,171.3
kl,rosgym,9,2,slh,42.324,174.4
kl,rosgym,9,3,slh,39.855,171.1
kl,rosgym,9,4,slh,30.565,129.5
kl,rosgym,9,5,slh,29.648,132.2
kl,rosgym,10,1,PA,46.127,153
kl,rosgym,10,2,PA,16.338,65
kl,rosgym,10,3,PA,29.274,109.7
kl,rosgym,10,4,PA,39.662,121.1
kl,rosgym,10,5,PA,23.84,77.8
kl,rosgym,11,1,slh,35.66,129.8
kl,rosgym,11,2,slh,37.726,129.2
kl,rosgym,11,3,slh,17.612,69.9
kl,rosgym,11,4,slh,29.57,102.5
kl,rosgym,11,5,slh,25.138,107.1
kl,rosgym,12,1,slh,49.094,176
kl,rosgym,12,2,slh,38.664,150.4
kl,rosgym,12,3,slh,40.382,169.7
kl,rosgym,12,4,slh,33.972,155.7
kl,rosgym,12,5,slh,26.972,106.8
kl,rubida,1,1,PA,41.248,96.4
kl,rubida,1,2,PA,31.562,72.2
kl,rubida,1,3,PA,47.491,118.6
kl,rubida,1,4,PA,58.292,154.3
kl,rubida,1,5,PA,31.863,76.5
kl,rubida,3,1,slh,90.899,266.5
kl,rubida,3,2,slh,69.538,273.4
kl,rubida,3,3,slh,103.428,358.8
kl,rubida,3,4,slh,90.462,332.4
kl,rubida,3,5,slh,95.023,283.9
kl,rubida,5,1,slh,50.372,162.8
kl,rubida,5,2,slh,20.828,65.2
kl,rubida,5,3,slh,19.528,55.5
kl,rubida,5,4,slh,40.543,134.7
kl,rubida,5,5,slh,31.541,96.6
kl,rubida,6,1,PA,33.73,103.6
kl,rubida,6,2,PA,15.343,46.4
kl,rubida,6,3,PA,21.815,66.1
kl,rubida,6,4,PA,21.509,58.6
kl,rubida,6,5,PA,16.522,55
kl,rubida,7,1,slh,17.067,32.9
kl,rubida,7,2,slh,14.474,35.1
kl,rubida,7,3,slh,19.552,38.2
kl,rubida,7,4,slh,9.26,20.2
kl,rubida,7,5,slh,10.654,22.2
kl,rubida,8,1,PA,49.914,201.5
kl,rubida,8,2,PA,33.138,125.7
kl,rubida,8,3,PA,70.036,237.8
kl,rubida,8,4,PA,84.006,288.1
kl,rubida,8,5,PA,61.668,197.2
kl,rubida,9,1,PA,13.903,46.6
kl,rubida,9,2,PA,48.103,152.7
kl,rubida,9,3,PA,24.575,66.3
kl,rubida,9,4,PA,42.916,140.5
kl,rubida,9,5,PA,42.964,158.3
kl,rubpar,1,1,slh,164.07,399.3
kl,rubpar,1,2,slh,199.192,467.7
kl,rubpar,1,3,slh,343.705,865.1
kl,rubpar,1,4,slh,137.889,305.8
kl,rubpar,1,5,slh,360.205,858
kl,rubpar,3,1,slh,225.604,704.1
kl,rubpar,3,2,slh,185.694,660.6
kl,rubpar,3,3,slh,198.376,628.1
kl,rubpar,3,4,slh,239.518,904.2
kl,rubpar,3,5,slh,174.618,624.9
kl,rubpar,4,1,slh,163.809,545.4
kl,rubpar,4,2,slh,249.661,786.8
kl,rubpar,4,3,slh,231.882,694.4
kl,rubpar,4,4,slh,219.066,703.8
kl,rubpar,4,5,slh,190.138,566.2
kl,rubpar,6,1,my,107.789,315.5
kl,rubpar,6,2,my,123.559,358.7
kl,rubpar,6,3,my,199.117,618.7
kl,rubpar,6,4,my,118.867,376.4
kl,rubpar,6,5,my,216.742,812
kl,rubpar,7,1,my,209.419,660
kl,rubpar,7,2,my,186.685,583.6
kl,rubpar,7,3,my,247.988,735.3
kl,rubpar,7,4,my,144.768,458.6
kl,rubpar,7,5,my,199.194,586.2
kl,rubpar,8,1,my,388.425,1400
kl,rubpar,8,2,my,352.055,1282.5
kl,rubpar,8,3,my,215.01,901
kl,rubpar,8,4,my,227.456,720.1
kl,rubpar,8,5,my,364.524,1497.9
kl,rubpar,9,1,slh,228.181,565.1
kl,rubpar,9,2,slh,207.508,696.4
kl,rubpar,9,3,slh,162.872,599.4
kl,rubpar,9,4,slh,190.066,580.5
kl,rubpar,9,5,slh,146.112,565.8
kl,rubpar,10,1,slh,271.405,829.5
kl,rubpar,10,2,slh,191.194,476.2
kl,rubpar,10,3,slh,327.524,846.6
kl,rubpar,10,4,slh,197.12,531.5
kl,rubpar,10,5,slh,206.025,961.1
kl,rubpar,11,1,slh,324.881,1118.2
kl,rubpar,11,2,slh,169.407,501.2
kl,rubpar,11,3,slh,261.132,841.1
kl,rubpar,11,4,slh,180.134,546.4
kl,rubpar,11,5,slh,312.888,1101.7
kl,rubpar,12,1,slh,317.945,1056.1
kl,rubpar,12,2,slh,202.26,941
kl,rubpar,12,3,slh,109.829,485.5
kl,rubpar,12,4,slh,273.839,1092.5
kl,rubpar,12,5,slh,344.551,1150.5
kl,samrac,1,1,my,511.8,1925.3
kl,samrac,1,2,my,230.527,750.8
kl,samrac,1,3,my,212.507,695
kl,samrac,1,4,my,377.595,1192.4
kl,samrac,1,5,my,378.07,1396.9
kl,samrac,2,1,my,163.804,355.1
kl,samrac,2,2,my,182.38,479.3
kl,samrac,2,3,my,228.555,800.9
kl,samrac,2,4,my,219.934,785.2
kl,samrac,2,5,my,190.39,516.3
kl,samrac,3,1,my,142.719,566.3
kl,samrac,3,2,my,107.574,329.9
kl,samrac,3,3,my,213.893,530.7
kl,samrac,3,4,my,198.638,816
kl,samrac,3,5,my,321.799,790.7
kl,samrac,4,1,my,224.381,593.7
kl,samrac,4,2,my,179.888,743
kl,samrac,4,3,my,267.438,718.6
kl,samrac,4,4,my,157.342,545.3
kl,samrac,4,5,my,212.235,734.9
kl,samrac,5,1,NA,296.889,1040.5
kl,samrac,5,2,NA,531.439,2034.9
kl,samrac,5,3,NA,521.974,1866.4
kl,samrac,5,4,NA,NA,1635.8
kl,samrac,5,5,NA,426.874,1922.5
kl,samrac,6,1,NA,151.873,481.5
kl,samrac,6,2,NA,139.559,468.7
kl,samrac,6,3,NA,130.552,531.8
kl,samrac,6,4,NA,141.839,487.4
kl,samrac,6,5,NA,152.845,532.9
kl,samrac,7,1,NA,222.364,766.2
kl,samrac,7,2,NA,225.57,668.8
kl,samrac,7,3,NA,106.772,322.2
kl,samrac,7,4,NA,288.179,1208.5
kl,samrac,7,5,NA,240.332,1027.1
kl,samrac,8,1,NA,1564.257,3488.7
kl,samrac,8,2,NA,830.824,2552.3
kl,samrac,8,3,NA,894.489,2886
kl,samrac,8,4,NA,870.032,2718.6
kl,samrac,8,5,NA,836.055,2420.8
kl,samrac,9,1,NA,266.97,588.7
kl,samrac,9,2,NA,550.442,872.3
kl,samrac,9,3,NA,869.076,1614.8
kl,samrac,9,4,NA,415.06,859.3
kl,samrac,9,5,NA,481.266,1020.6
kl,samrac,10,1,dl,742.736,1713.4
kl,samrac,10,2,dl,731.084,1757.6
kl,samrac,10,3,dl,1181.438,3120.8
kl,samrac,10,4,dl,761.66,2010.2
kl,samrac,10,5,dl,886.692,2039.4
kl,shecan,1,1,slh,16.573,67.2
kl,shecan,1,2,slh,12.407,51.6
kl,shecan,1,3,slh,9.393,52.3
kl,shecan,1,4,slh,11.699,55.5
kl,shecan,1,5,slh,16.258,72.4
kl,shecan,2,1,PA,14.89,58.4
kl,shecan,2,2,PA,12,50.1
kl,shecan,2,3,PA,13.886,58.1
kl,shecan,2,4,PA,6.999,27.7
kl,shecan,2,5,PA,13.879,54.5
kl,shecan,3,1,slh,14.743,64.8
kl,shecan,3,2,slh,17.162,73.7
kl,shecan,3,3,slh,10.835,40.1
kl,shecan,3,4,slh,16.844,75.8
kl,shecan,3,5,slh,9.168,31.6
kl,shecan,4,1,slh,14.848,72.7
kl,shecan,4,2,slh,14.475,75.8
kl,shecan,4,3,slh,22.339,110
kl,shecan,4,4,slh,14.762,81.3
kl,shecan,4,5,slh,22.116,128.5
kl,shecan,5,1,slh,13.909,17.3
kl,shecan,5,2,slh,15.605,52.4
kl,shecan,5,3,slh,5.333,44.6
kl,shecan,5,4,slh,12.698,54.6
kl,shecan,5,5,slh,10.931,69.2
kl,shecan,6,1,my,13.19,88.5
kl,shecan,6,2,my,9.99,67.3
kl,shecan,6,3,my,12.248,75.8
kl,shecan,6,4,my,12.629,83.3
kl,shecan,6,5,my,17.16,113.9
kl,shecan,7,1,my,14.071,64.2
kl,shecan,7,2,my,18.474,85
kl,shecan,7,3,my,12.034,53.7
kl,shecan,7,4,my,10.665,50.3
kl,shecan,7,5,my,14.413,58.7
kl,shecan,8,1,my,7.999,41.1
kl,shecan,8,2,my,19.047,129.6
kl,shecan,8,3,my,14.778,103
kl,shecan,8,4,my,14.583,71.6
kl,shecan,8,5,my,14.583,83
kl,shecan,4_02,1,NA,8.106,45
kl,shecan,4_02,2,NA,6.13,28.4
kl,shecan,4_02,3,NA,7.419,36.5
kl,shecan,4_02,4,NA,9.778,49
kl,shecan,4_02,5,NA,10.119,53.6
kl,shecan,9,1,slh,16.807,NA
kl,shecan,9,2,slh,17.908,NA
kl,shecan,9,3,slh,19.01,NA
kl,shecan,9,4,slh,13.407,NA
kl,shecan,9,5,slh,12.815,NA
kl,sorsco,1,1,dl,58.679,225.4
kl,sorsco,1,2,dl,79.334,276.7
kl,sorsco,1,3,dl,73.77,303
kl,sorsco,1,4,dl,61.969,217.5
kl,sorsco,1,5,dl,67.005,292.2
kl,sorsco,2,1,dl,116.653,443.5
kl,sorsco,2,2,dl,108.683,485.5
kl,sorsco,2,3,dl,57.909,233.9
kl,sorsco,2,4,dl,94.564,429.4
kl,sorsco,2,5,dl,90.675,418.4
kl,sorsco,3,1,dl,114.444,369.9
kl,sorsco,3,2,dl,80.616,287.3
kl,sorsco,3,3,dl,51.259,179.9
kl,sorsco,3,4,dl,75.596,264.8
kl,sorsco,3,5,dl,57.489,211.1
kl,sorsco,4,1,dl,72.297,408.1
kl,sorsco,4,2,dl,46.078,255.9
kl,sorsco,4,3,dl,53.945,314.3
kl,sorsco,4,4,dl,46.752,245.5
kl,sorsco,4,5,dl,58.858,337.5
kl,sorsco,5,1,dl,54.419,203.8
kl,sorsco,5,2,dl,66.291,271.3
kl,sorsco,5,3,dl,44.078,186.3
kl,sorsco,5,4,dl,46.24,203.1
kl,sorsco,5,5,dl,79.327,396.6
kl,sorsco,6,1,NA,87.033,497.5
kl,sorsco,6,2,NA,51.662,235.9
kl,sorsco,6,3,NA,60.196,292.9
kl,sorsco,6,4,NA,62.975,297.5
kl,sorsco,6,5,NA,65.531,336
kl,sorsco,7,1,dl,102.107,449
kl,sorsco,7,2,dl,90.591,429.2
kl,sorsco,7,3,dl,137.353,658.7
kl,sorsco,7,4,dl,105.701,450.7
kl,sorsco,7,5,dl,133.213,590.3
kl,sorsco,8,1,dl,122.614,347.1
kl,sorsco,8,2,dl,135.612,381.7
kl,sorsco,8,3,dl,77.644,191.3
kl,sorsco,8,4,dl,69.849,152.7
kl,sorsco,8,5,dl,131.916,344.8
kl,sorsco,9,1,dl,81.359,313.7
kl,sorsco,9,2,dl,97.264,383.8
kl,sorsco,9,3,dl,151.587,651
kl,sorsco,9,4,dl,125.125,436
kl,sorsco,9,5,dl,102.121,419
kl,sorsco,10,1,dl,78.206,361.1
kl,sorsco,10,2,dl,52.879,257
kl,sorsco,10,3,dl,53.987,102.6
kl,sorsco,10,4,dl,58.232,262.4
kl,sorsco,10,5,dl,50.794,230.5
kl,spibet,3,1,my,14.447,44
kl,spibet,3,2,my,7.909,22.4
kl,spibet,3,3,my,17.571,54.8
kl,spibet,3,4,my,20.305,67
kl,spibet,3,5,my,20.324,60.9
kl,spibet,4,1,my,12.122,43.2
kl,spibet,4,2,my,9.678,37.9
kl,spibet,4,3,my,13.724,49.7
kl,spibet,4,4,my,12.299,41.1
kl,spibet,4,5,my,9.243,31.8
kl,spibet,5,1,slh,9.239,34.9
kl,spibet,5,2,slh,8.947,35.6
kl,spibet,5,3,slh,9.912,41.3
kl,spibet,5,4,slh,7.333,28.9
kl,spibet,5,5,slh,8.812,37.3
kl,spibet,6,1,slh,21.679,79.1
kl,spibet,6,2,slh,18.783,76.2
kl,spibet,6,3,slh,15.254,50.9
kl,spibet,6,4,slh,18.285,60.5
kl,spibet,6,5,slh,17.447,72.1
kl,spibet,7,1,slh,17.59,78.2
kl,spibet,7,2,slh,14.644,78.1
kl,spibet,7,3,slh,15.134,77.6
kl,spibet,7,4,slh,14.478,68.3
kl,spibet,7,5,slh,16.674,75.5
kl,spibet,8,1,slh,12.19,43
kl,spibet,8,2,slh,4.089,15.8
kl,spibet,8,3,slh,12.073,40.7
kl,spibet,8,4,slh,4.4,15.1
kl,spibet,8,5,slh,13.285,48.1
kl,spibet,9,1,slh,14.662,NA
kl,spibet,9,2,slh,12.988,NA
kl,spibet,9,3,slh,15.007,NA
kl,spibet,9,4,slh,13.722,NA
kl,spibet,9,5,slh,14.075,NA
kl,spibet,10,1,slh,20.992,56.4
kl,spibet,10,2,slh,15.6,41.8
kl,spibet,10,3,slh,22.83,62.5
kl,spibet,10,4,slh,10.695,28.6
kl,spibet,10,5,slh,20.357,54.1
kl,spibet,11,1,PA,26.79,84.8
kl,spibet,11,2,PA,28.905,112.5
kl,spibet,11,3,PA,26.557,93.3
kl,spibet,11,4,PA,24.242,86.7
kl,spibet,11,5,PA,21.105,86.3
kl,spibet,12,1,slh,11.777,37.2
kl,spibet,12,2,slh,11.237,28.5
kl,spibet,12,3,slh,11.188,36.8
kl,spibet,12,4,slh,15.747,51.2
kl,spibet,12,5,slh,9.841,25.3
kl,symalb,1,1,slh,5.88,23.3
kl,symalb,1,2,slh,6.567,26.1
kl,symalb,1,3,slh,8.353,38.5
kl,symalb,1,4,slh,6.491,25.2
kl,symalb,1,5,slh,5.172,19.1
kl,symalb,2,1,my,9.067,27.1
kl,symalb,2,2,my,5.57,18.9
kl,symalb,2,3,my,8.413,30
kl,symalb,2,4,my,5.486,18.4
kl,symalb,2,5,my,8.056,28.7
kl,symalb,3,1,slh,7.925,38.5
kl,symalb,3,2,slh,3.737,16.4
kl,symalb,3,3,slh,5.145,24.6
kl,symalb,3,4,slh,3.226,14.2
kl,symalb,3,5,slh,4.051,16
kl,symalb,7,1,NA,13.023,36.2
kl,symalb,7,2,NA,12.805,35.1
kl,symalb,7,3,NA,5.634,12.3
kl,symalb,7,4,NA,4.676,10.6
kl,symalb,7,5,NA,7.885,21.6
kl,symalb,8,1,my,7.861,25.9
kl,symalb,8,2,my,13.019,47.2
kl,symalb,8,3,my,16.182,56.1
kl,symalb,8,4,my,8.656,28.8
kl,symalb,8,5,my,9.262,32.3
kl,symalb,9,1,my,7.524,36
kl,symalb,9,2,my,6.054,19.1
kl,symalb,9,3,my,5.946,19
kl,symalb,9,4,my,7.137,24
kl,symalb,9,5,my,4.078,14
kl,symalb,10,1,slh,11.847,53.6
kl,symalb,10,2,slh,10.471,38
kl,symalb,10,3,slh,8.059,37.5
kl,symalb,10,4,slh,5.513,19.5
kl,symalb,10,5,slh,5.903,26
kl,symalb,11,1,slh,13.149,65.8
kl,symalb,11,2,slh,12.945,64.1
kl,symalb,11,3,slh,11.493,52.3
kl,symalb,11,4,slh,12.198,49.2
kl,symalb,11,5,slh,9.209,39.9
kl,symalb,12,1,slh,5.4,30.6
kl,symalb,12,2,slh,4.607,24
kl,symalb,12,3,slh,4.345,23
kl,symalb,12,4,slh,4.912,26.9
kl,symalb,12,5,slh,3.581,18.3
kl,symalb,2_02,1,slh,13.454,64.7
kl,symalb,2_02,2,slh,6.783,27.6
kl,symalb,2_02,3,slh,8.886,43.9
kl,symalb,2_02,4,slh,5.839,26
kl,symalb,2_02,5,slh,7.337,37.5
kl,vacmem,1,1,slh,7.674,45.4
kl,vacmem,1,2,slh,7.805,40.4
kl,vacmem,1,3,slh,6.377,33.7
kl,vacmem,1,4,slh,7.947,44.2
kl,vacmem,1,5,slh,5.553,28.2
kl,vacmem,2,1,slh,5.961,28.2
kl,vacmem,2,2,slh,4.305,17.8
kl,vacmem,2,3,slh,7.863,38.7
kl,vacmem,2,4,slh,5.082,23.4
kl,vacmem,2,5,slh,10.171,45.4
kl,vacmem,3,1,slh,9.88,39.8
kl,vacmem,3,2,slh,9.64,41.6
kl,vacmem,3,3,slh,11.202,45.9
kl,vacmem,3,4,slh,8.527,36.3
kl,vacmem,3,5,slh,8.04,31.9
kl,vacmem,4,1,PA,4.603,15.6
kl,vacmem,4,2,PA,5.079,17.4
kl,vacmem,4,3,PA,5.857,20
kl,vacmem,4,4,PA,4.831,15.9
kl,vacmem,4,5,PA,4.062,12.1
kl,vacmem,5,1,slh,10.781,29.1
kl,vacmem,5,2,slh,8.208,19.4
kl,vacmem,5,3,slh,11.723,30.7
kl,vacmem,5,4,slh,8.74,24.7
kl,vacmem,5,5,slh,14.619,33.3
kl,vacmem,6,1,slh,3.688,10.7
kl,vacmem,6,2,slh,3.669,12
kl,vacmem,6,3,slh,4.032,14.3
kl,vacmem,6,4,slh,4.372,14.1
kl,vacmem,6,5,slh,4.818,15.6
kl,vacmem,7,1,slh,8.554,23.9
kl,vacmem,7,2,slh,10.938,28.3
kl,vacmem,7,3,slh,15.823,50.8
kl,vacmem,7,4,slh,9.583,27.9
kl,vacmem,7,5,slh,12.718,39.3
kl,vacmem,8,1,slh,7.718,28.9
kl,vacmem,8,2,slh,9.812,33.5
kl,vacmem,8,3,slh,9.885,30.7
kl,vacmem,8,4,slh,10.821,37
kl,vacmem,8,5,slh,7.875,29.6
kl,vacmem,9,1,slh,6.363,29.4
kl,vacmem,9,2,slh,9.523,35.8
kl,vacmem,9,3,slh,6.533,26.8
kl,vacmem,9,4,slh,8.509,33.1
kl,vacmem,9,5,slh,9.316,35.7
kl,vacmem,10,1,NA,11.05,38.2
kl,vacmem,10,2,NA,14.331,51.4
kl,vacmem,10,3,NA,13.392,47.9
kl,vacmem,10,4,NA,7.749,24.5
kl,vacmem,10,5,NA,11.501,39.3
kl,vibedu,1,1,PA,37.291,131.7
kl,vibedu,1,2,PA,47.839,169.5
kl,vibedu,1,3,PA,37.846,134.5
kl,vibedu,1,4,PA,38.528,150.1
kl,vibedu,1,5,PA,56.463,213.5
kl,vibedu,2,1,slh,40.533,132.9
kl,vibedu,2,2,slh,29.841,89.9
kl,vibedu,2,3,slh,36.801,116.9
kl,vibedu,2,4,slh,45.505,149.4
kl,vibedu,2,5,slh,16.581,472
kl,vibedu,3,1,PA,52.978,155.4
kl,vibedu,3,2,PA,36.031,108.1
kl,vibedu,3,3,PA,43.237,128.1
kl,vibedu,3,4,PA,38.194,121.7
kl,vibedu,3,5,PA,51.499,165.3
kl,vibedu,4,1,slh,42.483,195.8
kl,vibedu,4,2,slh,45.464,259.8
kl,vibedu,4,3,slh,44.617,190.8
kl,vibedu,4,4,slh,63.005,263.8
kl,vibedu,4,5,slh,32.111,159.5
kl,vibedu,5,1,slh,40.486,190.7
kl,vibedu,5,2,slh,33.751,147
kl,vibedu,5,3,slh,40.4,175.5
kl,vibedu,5,4,slh,37.208,169.2
kl,vibedu,5,5,slh,53.369,240.8
kl,vibedu,6,1,NA,43.891,185
kl,vibedu,6,2,NA,75.718,277.1
kl,vibedu,6,3,NA,52.684,245.2
kl,vibedu,6,4,NA,51.96,218.7
kl,vibedu,6,5,NA,41.851,213.1
kl,vibedu,7,1,slh,28.21,111
kl,vibedu,7,2,slh,26.223,101.4
kl,vibedu,7,3,slh,37.688,160
kl,vibedu,7,4,slh,21.745,105.1
kl,vibedu,7,5,slh,26.084,119.8
kl,vibedu,8,1,PA,34.562,206.1
kl,vibedu,8,2,PA,23.898,115.9
kl,vibedu,8,3,PA,34.19,205.1
kl,vibedu,8,4,PA,61.169,349.1
kl,vibedu,8,5,PA,54.092,348
kl,vibedu,9,5,NA,79.488,376
kl,vibedu,9,1,slh,79.104,210
kl,vibedu,9,2,slh,36.293,272.3
kl,vibedu,9,3,slh,48.673,330.3
kl,vibedu,9,4,slh,59.048,412
kl,vibedu,10,1,slh,33.872,183.9
kl,vibedu,10,2,slh,25.208,117.7
kl,vibedu,10,3,slh,41.424,185.3
kl,vibedu,10,4,slh,38.326,169.5
kl,vibedu,10,5,slh,48.899,171
mp,acegla,1,1,slh,37.995,127.7
mp,acegla,1,2,slh,33.987,88.4
mp,acegla,1,3,slh,37.558,123.9
mp,acegla,1,4,slh,35.273,110.4
mp,acegla,1,5,slh,33.321,100.5
mp,acegla,2,1,my,42.366,188.5
mp,acegla,2,2,my,32.948,127.1
mp,acegla,2,3,my,48.555,282.9
mp,acegla,2,4,my,58.879,211.4
mp,acegla,2,5,my,30.151,137.5
mp,acegla,3,1,my,25.569,283.4
mp,acegla,3,2,my,65.893,107.3
mp,acegla,3,3,my,62.647,288.9
mp,acegla,3,4,my,107.123,500.2
mp,acegla,3,5,my,110.844,467.8
mp,acegla,4,1,my,37.389,88.3
mp,acegla,4,2,my,29.728,76.2
mp,acegla,4,3,my,53.246,128.1
mp,acegla,4,4,my,42.391,135.7
mp,acegla,4,5,my,70.318,187
mp,acegla,5,1,PA,37.393,76.7
mp,acegla,5,2,PA,51.718,86.4
mp,acegla,5,3,PA,28.395,54.2
mp,acegla,5,4,PA,34.959,55.9
mp,acegla,5,5,PA,60.488,128
mp,acegla,7,1,my,50.331,141.3
mp,acegla,7,2,my,54.739,150.1
mp,acegla,7,3,my,61.403,190
mp,acegla,7,4,my,49.794,124.3
mp,acegla,7,5,my,39.898,99.9
mp,acegla,8,1,my,72.668,289
mp,acegla,8,2,my,26.544,66.1
mp,acegla,8,3,my,77.441,228.3
mp,acegla,8,4,my,40.227,94.5
mp,acegla,8,5,my,67.559,177.6
mp,acegla,9,1,my,66.312,146.3
mp,acegla,9,2,my,59.637,139
mp,acegla,9,3,my,47.588,121.5
mp,acegla,9,4,my,85.987,211.7
mp,acegla,9,5,my,78.597,178.4
mp,acegla,10,1,my,55.334,111.3
mp,acegla,10,2,my,60.972,124.2
mp,acegla,10,3,my,44.074,103
mp,acegla,10,4,my,43.538,84.2
mp,acegla,10,5,my,61.413,138.6
mp,acegla,11,1,NA,51.855,194.5
mp,acegla,11,2,NA,39.039,156.8
mp,acegla,11,3,NA,52.345,212.7
mp,acegla,11,4,NA,39.312,164.4
mp,acegla,11,5,NA,61.75,245.9
mp,alninc,1,1,slh,31.799,109.62
mp,alninc,1,2,slh,42.536,131.48
mp,alninc,1,3,slh,30.22,90.4
mp,alninc,1,4,slh,30.741,86.98
mp,alninc,1,5,slh,36.578,113.92
mp,alninc,2,1,PA,21.999,159.1
mp,alninc,2,2,PA,17.664,129
mp,alninc,2,3,PA,17.903,93.8
mp,alninc,2,4,PA,18.695,118
mp,alninc,2,5,PA,21.256,133.8
mp,alninc,3,1,PA,25.729,135.7
mp,alninc,3,2,PA,27.917,141.07
mp,alninc,3,3,PA,32.589,171.22
mp,alninc,3,4,PA,22.197,118
mp,alninc,3,5,PA,22.63,124.51
mp,alninc,4,1,my,41.695,143.4
mp,alninc,4,2,my,46.547,149.9
mp,alninc,4,3,my,34.824,107.4
mp,alninc,4,4,my,27.347,108.4
mp,alninc,4,5,my,30.023,116.7
mp,alninc,5,1,slh,33.684,91.7
mp,alninc,5,2,slh,33.44,99.6
mp,alninc,5,3,slh,25.276,72.1
mp,alninc,5,4,slh,29.603,86
mp,alninc,5,5,slh,28.524,91.4
mp,alninc,6,1,PA,38.35,132.3
mp,alninc,6,2,PA,30.748,126
mp,alninc,6,3,PA,24.377,94.9
mp,alninc,6,4,PA,31.801,115.1
mp,alninc,6,5,PA,28.127,133.4
mp,alninc,7,1,my,19.735,101.6
mp,alninc,7,2,my,20.559,99.7
mp,alninc,7,3,my,17.556,98.8
mp,alninc,7,4,my,19.729,114.3
mp,alninc,7,5,my,22.361,120.2
mp,alninc,8,1,PA,17.155,54.8
mp,alninc,8,2,PA,25.533,71.9
mp,alninc,8,3,PA,28.878,90.7
mp,alninc,8,4,PA,29.151,79.8
mp,alninc,8,5,PA,12.765,39.6
mp,alninc,9,1,PA,70.647,166.5
mp,alninc,9,2,PA,25.774,51.4
mp,alninc,9,3,PA,26.429,54.3
mp,alninc,9,4,PA,54.421,133
mp,alninc,9,5,PA,53.676,125.6
mp,alninc,10,1,PA,10.939,63.8
mp,alninc,10,2,PA,16.954,101.6
mp,alninc,10,3,PA,11.872,91.3
mp,alninc,10,4,PA,17.331,80.5
mp,alninc,10,5,PA,15.672,85.6
mp,alnrub,5,1,PA,25.651,61.1
mp,alnrub,5,2,PA,28.737,66.6
mp,alnrub,5,3,PA,27.406,61
mp,alnrub,5,4,PA,37.38,90.2
mp,alnrub,5,5,PA,30.837,73.1
mp,alnrub,6,1,PA,19.902,54.1
mp,alnrub,6,2,PA,35.495,89.3
mp,alnrub,6,3,PA,13.396,32.5
mp,alnrub,6,4,PA,34.211,88.5
mp,alnrub,6,5,PA,30.065,71.7
mp,alnrub,7,1,slh,24.623,79.1
mp,alnrub,7,2,slh,36.396,98.9
mp,alnrub,7,3,slh,25.662,84.4
mp,alnrub,7,4,slh,27.928,98.3
mp,alnrub,7,5,slh,40.733,114.1
mp,alnvir,1,1,my,21.051,107
mp,alnvir,1,2,my,29.905,156.5
mp,alnvir,1,3,my,17.802,94.8
mp,alnvir,1,4,my,28.748,100.6
mp,alnvir,1,5,my,33.357,159.7
mp,alnvir,2,1,my,48.314,108
mp,alnvir,2,2,my,30.697,93.5
mp,alnvir,2,3,my,29.007,156
mp,alnvir,2,4,my,41.192,131.7
mp,alnvir,2,5,my,43.686,132.5
mp,alnvir,3,1,my,34.503,100.4
mp,alnvir,3,2,my,23.666,139.7
mp,alnvir,3,3,my,21.711,102.3
mp,alnvir,3,4,my,23.025,91.5
mp,alnvir,3,5,my,24.733,94.6
mp,alnvir,4,1,my,25.709,100
mp,alnvir,4,2,my,33.693,171.5
mp,alnvir,4,3,my,39.095,185.9
mp,alnvir,4,4,my,38.545,202
mp,alnvir,4,5,my,30.106,168.7
mp,alnvir,5,1,my,53.455,339.7
mp,alnvir,5,2,my,65.873,338.3
mp,alnvir,5,3,my,60.819,336.8
